Date,Date_YMD,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HP,HR,JH,JK,KL,KA,LA,LD,ML,MN,MP,MH,MZ,NL,OR,PB,PY,RJ,SK,TN,TR,TG,UP,UT,UN,WB
20-Apr-20,2020-04-20,Deceased,33,0,3,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,2,0,2,0,2,1,0,0,0
21-Apr-20,2020-04-21,Confirmed,1537,1,35,0,0,13,1,0,0,0,75,0,239,0,4,0,12,19,10,0,0,1,0,67,552,0,0,5,6,0,159,0,76,0,56,153,0,0,53
21-Apr-20,2020-04-21,Recovered,703,0,4,0,0,0,0,0,0,0,180,0,8,0,6,0,10,16,17,0,0,0,0,10,150,0,0,6,11,0,69,0,178,0,8,22,1,0,7
21-Apr-20,2020-04-21,Deceased,53,0,2,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,0,0,0,4,19,0,0,0,0,0,1,0,1,0,0,3,0,0,3
22-Apr-20,2020-04-22,Confirmed,1292,1,56,0,0,17,0,0,0,0,92,0,229,0,9,0,27,11,9,0,0,0,0,35,431,0,0,4,27,0,153,0,33,0,15,112,0,0,31
22-Apr-20,2020-04-22,Recovered,394,0,24,0,0,0,0,3,0,0,113,0,40,0,11,0,11,1,2,0,0,0,0,4,67,0,0,2,4,0,70,0,27,0,0,11,4,0,0
22-Apr-20,2020-04-22,Deceased,36,0,2,0,0,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,1,0,0,0,0
23-Apr-20,2020-04-23,Confirmed,1667,4,80,0,1,27,0,0,0,0,128,0,217,1,6,7,27,10,18,0,0,0,0,100,778,0,0,6,5,0,76,0,54,0,27,61,1,0,33
23-Apr-20,2020-04-23,Recovered,642,0,21,0,0,2,0,2,0,0,84,0,79,2,12,4,0,8,14,2,0,0,0,51,51,0,0,1,13,0,107,0,90,1,58,33,1,0,6
23-Apr-20,2020-04-23,Deceased,40,0,3,0,0,0,0,0,0,0,2,0,9,0,0,1,0,0,0,0,0,0,0,3,14,0,0,0,1,0,1,0,2,0,1,3,0,0,0
24-Apr-20,2020-04-24,Confirmed,1408,7,62,0,0,53,0,0,0,0,138,0,191,0,5,6,20,3,29,0,0,0,0,159,390,0,0,5,15,0,70,0,72,0,13,111,1,0,58
24-Apr-20,2020-04-24,Recovered,484,0,4,0,0,0,1,0,0,0,49,0,7,0,16,0,17,15,7,0,0,0,0,7,117,0,0,0,4,0,42,0,114,0,39,20,1,0,24
24-Apr-20,2020-04-24,Deceased,59,0,2,0,0,0,0,0,0,0,3,0,15,0,0,0,0,1,1,0,0,0,0,9,18,0,0,0,0,0,4,0,2,0,0,1,0,0,3
25-Apr-20,2020-04-25,Confirmed,1835,4,61,0,0,28,1,1,0,0,111,0,256,0,12,8,40,7,26,2,0,0,0,99,811,0,0,6,10,1,49,0,66,0,7,172,0,0,57
25-Apr-20,2020-04-25,Recovered,442,0,26,0,0,1,0,2,0,0,12,0,17,4,5,0,3,7,6,0,0,0,0,71,119,0,0,1,2,0,20,0,94,0,16,35,1,0,0
25-Apr-20,2020-04-25,Deceased,44,0,2,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,7,22,0,0,0,0,0,2,0,1,0,0,2,0,0,0
26-Apr-20,2020-04-26,Confirmed,1607,0,81,0,0,26,8,0,0,0,293,0,230,0,9,15,29,11,3,0,0,0,0,145,440,0,0,3,14,0,102,0,64,0,11,80,3,0,40
26-Apr-20,2020-04-26,Recovered,585,0,60,0,8,11,2,0,0,0,8,0,31,0,8,5,25,4,24,0,0,0,0,21,112,0,0,1,12,0,116,0,60,0,9,66,0,0,2
26-Apr-20,2020-04-26,Deceased,56,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,4,19,0,0,0,1,0,7,0,1,0,0,3,0,0,2
27-Apr-20,2020-04-27,Confirmed,1568,0,80,0,0,69,9,0,0,0,190,0,247,0,5,21,23,13,9,0,0,0,0,75,522,0,0,15,8,0,77,0,52,0,2,113,0,0,38
27-Apr-20,2020-04-27,Recovered,580,0,4,0,0,0,0,0,0,0,0,0,81,3,14,4,27,13,11,0,0,0,0,55,94,0,0,2,14,1,115,0,54,0,16,72,0,0,0
